t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
7.62,12,0.758971,0.735746,0.854707
7.63,12,0.742474,0.739896,0.850073
7.64,12,0.746683,0.783292,0.87199
7.65,12,0.736639,0.776494,0.847481
7.66,12,0.745767,0.799745,0.854107
7.67,12,0.736165,0.785057,0.817452
7.68,12,0.745187,0.800113,0.813951
7.69,12,0.734473,0.792775,0.798676
7.7,12,0.741825,0.818233,0.818896
7.71,12,0.729311,0.81728,0.807396
7.72,12,0.735044,0.845322,0.827118
7.73,12,0.715955,0.818158,0.807722
7.74,12,0.714263,0.821098,0.819623
7.75,12,0.697855,0.798415,0.787468
7.76,12,0.702737,0.810624,0.781964
7.77,12,0.691442,0.778058,0.738693
7.78,12,0.701217,0.779009,0.734989
7.79,12,0.69338,0.740674,0.7109
7.8,12,0.705559,0.728966,0.720997
7.81,12,0.700857,0.68076,0.699295
7.82,12,0.714975,0.672869,0.715638
7.83,12,0.713727,0.623212,0.697314
7.84,12,0.732586,0.619305,0.717695
7.85,12,0.734462,0.567964,0.682917
7.86,12,0.755348,0.568259,0.689916
7.87,12,0.756582,0.54226,0.648289
7.88,12,0.774841,0.57154,0.647125
7.89,12,0.774649,0.567355,0.60738
7.9,12,0.790623,0.609707,0.61178
7.91,12,0.783708,0.5974,0.57602
7.92,12,0.79371,0.625442,0.589844
7.93,12,0.784631,0.622013,0.575033
7.94,12,0.792974,0.663037,0.612602
7.95,12,0.779217,0.662621,0.593231
7.96,12,0.782538,0.703146,0.616235
7.97,12,0.76183,0.693211,0.595816
7.98,12,0.757614,0.716916,0.617454
7.99,12,0.729389,0.710813,0.605663
8,12,0.718081,0.741666,0.629236
8.01,12,0.689282,0.736219,0.62412
8.02,12,0.680065,0.765704,0.663691
8.03,12,0.65814,0.762215,0.662193
8.04,12,0.658617,0.792439,0.695309
8.05,12,0.645996,0.782609,0.691046
8.06,12,0.653738,0.808221,0.724571
8.07,12,0.638721,0.807929,0.707306
8.08,12,0.642959,0.836172,0.724772
8.09,12,0.626809,0.820296,0.705809
8.1,12,0.632754,0.832853,0.72308
8.11,12,0.621281,0.816945,0.696688
8.12,12,0.632325,0.8349,0.708269
8.13,12,0.624742,0.805327,0.678316
8.14,12,0.639716,0.809273,0.687156
